dataTimestamp,axis1,axis2,axis3,steps,lux,inclineOff,inclineStanding,inclineSitting,inclineLying
636519535000000000,0.0,80.0,155.0,0.0,0.0,0.0,6.0,4.0,0.0
636519535100000000,286.0,276.0,329.0,3.0,0.0,0.0,10.0,0.0,0.0
636519535200000000,252.0,105.0,506.0,5.0,0.0,0.0,10.0,0.0,0.0
636519535300000000,80.0,129.0,128.0,3.0,0.0,0.0,10.0,0.0,0.0
636519535400000000,316.0,216.0,537.0,10.0,0.0,0.0,10.0,0.0,0.0
636519535500000000,783.0,234.0,521.0,19.0,0.0,0.0,10.0,0.0,0.0
636519535600000000,288.0,179.0,294.0,7.0,0.0,0.0,10.0,0.0,0.0
636519535700000000,64.0,97.0,155.0,2.0,0.0,0.0,7.0,3.0,0.0
636519535800000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519535900000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519536000000000,75.0,249.0,149.0,3.0,0.0,0.0,10.0,0.0,0.0
636519536100000000,0.0,13.0,28.0,0.0,0.0,0.0,10.0,0.0,0.0
636519536200000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519536300000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519536400000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519536500000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519536600000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519536700000000,27.0,64.0,42.0,0.0,0.0,0.0,10.0,0.0,0.0
636519536800000000,13.0,31.0,66.0,1.0,0.0,0.0,10.0,0.0,0.0
636519536900000000,0.0,0.0,20.0,0.0,23.0,0.0,10.0,0.0,0.0
636519537000000000,17.0,66.0,113.0,1.0,20.0,0.0,10.0,0.0,0.0
636519537100000000,3.0,10.0,20.0,0.0,35.0,0.0,8.0,2.0,0.0
636519537200000000,32.0,53.0,84.0,2.0,0.0,0.0,6.0,4.0,0.0
636519537300000000,0.0,11.0,34.0,0.0,0.0,0.0,1.0,9.0,0.0
636519537400000000,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
636519537500000000,0.0,19.0,35.0,0.0,0.0,0.0,1.0,9.0,0.0
636519537600000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
636519537700000000,46.0,115.0,162.0,2.0,0.0,0.0,0.0,10.0,0.0
636519537800000000,12.0,33.0,35.0,1.0,0.0,0.0,2.0,8.0,0.0
636519537900000000,60.0,118.0,126.0,3.0,0.0,0.0,6.0,4.0,0.0
636519538000000000,49.0,44.0,51.0,1.0,0.0,0.0,7.0,3.0,0.0
636519538100000000,0.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
636519538200000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
636519538300000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
636519538400000000,80.0,59.0,105.0,2.0,0.0,0.0,10.0,0.0,0.0
