INDEX,TRACK ID,VALID,UTC DATE,UTC TIME,LOCAL DATE,LOCAL TIME,MS,LATITUDE,N/S,LONGITUDE,E/W,ALTITUDE,SPEED,HEADING,G-X,G-Y,G-Z
71,1,FIXED,1/19/2018,21:56:08,1/19/2018,13:56:08,0,47.66234,N,-117.403306,W,571.999023,11.793772,152.388428,0,0,0
72,1,FIXED,1/19/2018,21:56:18,1/19/2018,13:56:18,0,47.662176,N,-117.403179,W,574.082153,5.724562,282.352158,0,0,0
73,1,FIXED,1/19/2018,21:56:28,1/19/2018,13:56:28,0,47.662213,N,-117.403429,W,575.731934,0.761577,302.6281,0,0,0
74,1,FIXED,1/19/2018,21:56:38,1/19/2018,13:56:38,0,47.6623,N,-117.403631,W,566.736084,2.254262,244.175528,0,0,0
75,1,FIXED,1/19/2018,21:56:48,1/19/2018,13:56:48,0,47.662212,N,-117.403899,W,580.386841,0.849801,163.358867,0,0,0
76,1,FIXED,1/19/2018,21:56:58,1/19/2018,13:56:58,0,47.662072,N,-117.403837,W,570.575989,4.236929,136.122846,0,0,0
77,1,FIXED,1/19/2018,21:57:08,1/19/2018,13:57:08,0,47.661968,N,-117.403689,W,564.236938,2.92615,127.332058,0,0,0
78,1,FIXED,1/19/2018,21:57:18,1/19/2018,13:57:18,0,47.66191,N,-117.403576,W,561.323975,5.916093,129.776151,0,0,0
79,1,FIXED,1/19/2018,21:57:28,1/19/2018,13:57:28,0,47.661857,N,-117.403481,W,562.23999,3.164205,127.741749,0,0,0
80,1,FIXED,1/19/2018,21:57:38,1/19/2018,13:57:38,0,47.66181,N,-117.403392,W,565.201599,3.503386,68.895886,0,0,0
81,1,FIXED,1/19/2018,21:57:48,1/19/2018,13:57:48,0,47.66184,N,-117.403276,W,563.112305,3.583966,51.232611,0,0,0
82,1,FIXED,1/19/2018,21:57:58,1/19/2018,13:57:58,0,47.661892,N,-117.403181,W,561.975159,5.034997,28.207101,0,0,0
83,1,FIXED,1/19/2018,21:58:08,1/19/2018,13:58:08,0,47.662015,N,-117.403083,W,565.102295,0.278353,354.722751,0,0,0
84,1,FIXED,1/19/2018,21:58:18,1/19/2018,13:58:18,0,47.662061,N,-117.403089,W,565.326233,0.743527,110.388479,0,0,0
85,1,FIXED,1/19/2018,21:58:28,1/19/2018,13:58:28,0,47.662046,N,-117.403032,W,564.73291,1.183684,158.470079,0,0,0
86,1,FIXED,1/19/2018,21:58:38,1/19/2018,13:58:38,0,47.662036,N,-117.403026,W,564.580627,0.686586,227.734186,0,0,0
87,1,FIXED,1/19/2018,21:58:48,1/19/2018,13:58:48,0,47.661868,N,-117.403302,W,564.330078,17.768639,228.36551,0,0,0
88,1,FIXED,1/19/2018,21:58:58,1/19/2018,13:58:58,0,47.66169,N,-117.403598,W,563.6651,0.77964,307.968505,0,0,0
89,1,FIXED,1/19/2018,21:59:08,1/19/2018,13:59:08,0,47.661943,N,-117.404079,W,562.948242,32.368385,310.413258,0,0,0
90,1,FIXED,1/19/2018,21:59:18,1/19/2018,13:59:18,0,47.662548,N,-117.405133,W,562.22168,36.764118,265.05939,0,0,0
91,1,FIXED,1/19/2018,21:59:28,1/19/2018,13:59:28,0,47.662462,N,-117.406606,W,560.720337,41.818012,240.222577,0,0,0
92,1,FIXED,1/19/2018,21:59:38,1/19/2018,13:59:38,0,47.661898,N,-117.40807,W,560.136475,48.725395,231.176485,0,0,0
93,1,FIXED,1/19/2018,21:59:48,1/19/2018,13:59:48,0,47.66132,N,-117.409137,W,559.151428,33.209034,186.243094,0,0,0
94,1,FIXED,1/19/2018,21:59:58,1/19/2018,13:59:58,0,47.660347,N,-117.409295,W,559.665833,21.87475,247.806927,0,0,0
95,1,FIXED,1/19/2018,22:00:08,1/19/2018,14:00:08,0,47.660154,N,-117.409997,W,560.191895,40.200008,269.049031,0,0,0
96,1,FIXED,1/19/2018,22:00:18,1/19/2018,14:00:18,0,47.660137,N,-117.411525,W,559.40271,37.055874,270.402413,0,0,0
97,1,FIXED,1/19/2018,22:00:28,1/19/2018,14:00:28,0,47.660142,N,-117.41275,W,559.463867,20.911564,273.481195,0,0,0
98,1,FIXED,1/19/2018,22:00:38,1/19/2018,14:00:38,0,47.660148,N,-117.412877,W,559.200439,0.790321,11.117655,0,0,0
99,1,FIXED,1/19/2018,22:00:48,1/19/2018,14:00:48,0,47.660166,N,-117.412871,W,559.459717,0.258971,177.160232,0,0,0
100,1,FIXED,1/19/2018,22:00:58,1/19/2018,14:00:58,0,47.660159,N,-117.412871,W,559.587524,0.407441,205.064493,0,0,0
101,1,FIXED,1/19/2018,22:01:08,1/19/2018,14:01:08,0,47.660149,N,-117.412878,W,559.625427,0.125686,19.304518,0,0,0
102,1,FIXED,1/19/2018,22:01:18,1/19/2018,14:01:18,0,47.660154,N,-117.412875,W,559.62677,0.537833,257.476732,0,0,0
103,1,FIXED,1/19/2018,22:01:28,1/19/2018,14:01:28,0,47.660147,N,-117.412918,W,559.705139,6.61904,262.760862,0,0,0
