"TimeStamp","axis1","axis2","axis3","steps","lux","inclineOff","inclineStanding","inclineSitting","inclineLying","vm"
2018-01-20 08:28:30,4,0,31,0,0,0,10,0,0,32
2018-01-20 08:28:40,0,10,24,0,0,0,7,3,0,26
2018-01-20 08:28:50,82,154,319,6,0,0,10,0,0,364
2018-01-20 08:29:00,2,44,63,1,0,0,5,5,0,77
2018-01-20 08:29:10,2,41,215,0,0,0,9,1,0,219
2018-01-20 08:29:20,52,88,157,3,0,0,8,2,0,188
2018-01-20 08:29:30,0,0,0,0,0,0,8,2,0,0
2018-01-20 08:29:40,0,0,50,0,0,0,10,0,0,50
2018-01-20 08:29:50,208,318,450,9,0,0,10,0,0,589
2018-01-20 08:30:00,303,382,490,3,0,0,10,0,0,692
2018-01-20 08:30:10,180,228,215,3,0,0,10,0,0,362
2018-01-20 08:30:20,36,84,169,3,0,0,10,0,0,193
2018-01-20 08:30:30,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:30:40,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:30:50,0,3,16,0,0,0,10,0,0,17
2018-01-20 08:31:00,23,166,303,1,0,0,8,2,0,347
2018-01-20 08:31:10,0,20,120,0,0,0,8,2,0,122
2018-01-20 08:31:20,0,33,187,0,0,0,8,2,0,190
2018-01-20 08:31:30,81,164,263,5,0,0,10,0,0,321
2018-01-20 08:31:40,44,116,261,3,0,0,6,4,0,289
2018-01-20 08:31:50,394,490,518,7,0,0,10,0,0,815
2018-01-20 08:32:00,103,262,551,2,0,0,10,0,0,619
2018-01-20 08:32:10,173,329,352,9,0,0,10,0,0,512
2018-01-20 08:32:20,0,27,7,0,0,0,10,0,0,28
2018-01-20 08:32:30,0,23,128,0,0,0,10,0,0,131
2018-01-20 08:32:40,80,180,366,4,0,0,10,0,0,416
2018-01-20 08:32:50,0,51,173,0,0,0,10,0,0,181
2018-01-20 08:33:00,0,24,19,0,0,0,10,0,0,31
2018-01-20 08:33:10,0,20,26,0,0,0,10,0,0,33
2018-01-20 08:33:20,0,38,46,0,0,0,8,2,0,60
2018-01-20 08:33:30,108,171,288,7,0,0,10,0,0,352
2018-01-20 08:33:40,103,224,298,6,0,0,10,0,0,387
2018-01-20 08:33:50,23,100,111,1,0,0,9,1,0,152
2018-01-20 08:34:00,44,119,240,0,0,0,3,7,0,272
2018-01-20 08:34:10,13,60,333,2,0,0,8,2,0,339
2018-01-20 08:34:20,45,96,71,1,0,0,7,3,0,128
2018-01-20 08:34:30,0,0,45,0,0,0,10,0,0,45
2018-01-20 08:34:40,197,371,343,9,0,0,10,0,0,543
2018-01-20 08:34:50,18,107,282,1,0,0,10,0,0,303
2018-01-20 08:35:00,0,17,70,0,0,0,10,0,0,73
2018-01-20 08:35:10,0,37,52,0,0,0,10,0,0,64
2018-01-20 08:35:20,46,138,148,3,0,0,9,1,0,208
2018-01-20 08:35:30,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:35:40,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:35:50,4,106,126,0,0,0,10,0,0,165
2018-01-20 08:36:00,179,117,378,2,0,0,10,0,0,435
2018-01-20 08:36:10,0,4,131,0,0,0,8,2,0,132
2018-01-20 08:36:20,0,0,6,0,0,0,10,0,0,6
2018-01-20 08:36:30,42,31,2,1,0,0,10,0,0,53
2018-01-20 08:36:40,130,193,145,2,0,0,10,0,0,275
2018-01-20 08:36:50,20,75,0,0,0,0,2,8,0,78
2018-01-20 08:37:00,31,176,269,1,0,0,9,1,0,323
2018-01-20 08:37:10,198,357,318,11,0,0,10,0,0,518
2018-01-20 08:37:20,155,258,276,8,0,0,10,0,0,409
2018-01-20 08:37:30,5,113,225,0,0,0,10,0,0,252
2018-01-20 08:37:40,2,75,155,0,0,0,10,0,0,173
2018-01-20 08:37:50,5,72,140,1,0,0,10,0,0,158
